"id";"funcloc";"material_number";"equipment_description";"status";"sort_field";"unique_id";"qr_code_link";"created_at";"updated_at"
"EMO000105";"FP-01-SP1-CPO-T023-P036";;"MOTOR AC;7,5KW;16A;4P;380V;B";"Installed";"SP1.CP.C15/P3/M";"56";"https://www.safesave.info/MIC.php?id=Fajar-MotorList56";"2023-10-26 14:45:21";NULL
"EMO000106";"FP-01-PM1-AP4-T169-P188";;"AC MOTOR CGE ;380V,50HZ,18.5KW,4P,B";"Installed";"PM1.APP4.T2/P1/M";"290";"https://www.safesave.info/MIC.php?id=Fajar-MotorList290";"2023-10-26 14:45:21";NULL
"EMO000107";"FP-01-PM1-AP5-SR32";;"MOTOR AC TECO AEEB ;380V,55KW,4P.380V.B";"Installed";"PM1.APP5.PS1/M";"258";"https://www.safesave.info/MIC.php?id=Fajar-MotorList258";"2023-10-26 14:45:21";NULL
"EMO000108";"FP-01-PM1-AP5-T170-A045";;"MOTOR AC TECO AEEB ;22KW;45,9A;6P;380V;200L,B3";"Installed";"PM1.APP5.C(BL)/AGT/M";"267";"https://www.safesave.info/MIC.php?id=Fajar-MotorList267";"2023-10-26 14:45:21";NULL
"EMO000112";"FP-01-PM1-AP4-T166-P185";;"MOTOR;AC ABB,15KW,30A,4P,380V,B";"Installed";"PM1.APP4.C(MC)/P1/M";"287";"https://www.safesave.info/MIC.php?id=Fajar-MotorList287";"2023-10-26 14:45:21";NULL
"EMO000113";"FP-01-PM1-AP5-T172-P191";;"MOTOR AC ABB ;90KW;169A;6P;380V;B";"Installed";"PM1.APP5.SL/P(FN)/M";"293";"https://www.safesave.info/MIC.php?id=Fajar-MotorList293";"2023-10-26 14:45:21";NULL
"EMO000114";"FP-01-PM1-AP5-T173-P192";;"AC MOTOR ABB ;380V,50HZ,7.5KW,4P,16A,B";"Installed";"PM1.APP5.T1/P1/M";"294";"https://www.safesave.info/MIC.php?id=Fajar-MotorList294";"2023-10-26 14:45:21";NULL
"EMO000115";"FP-01-PM1-AP5-T174-P193";;"MOTOR; ABB 18.5KW,36A,4P,380V";"Installed";"PM1.APP5.T2/P1/M";"295";"https://www.safesave.info/MIC.php?id=Fajar-MotorList295";"2023-10-26 14:45:21";NULL
"EMO000121";"FP-01-PM1-BRS-T187-A049";;"MOTOR AC TECO ;110KW;216A;8P;380V;B";"Installed";"PM1.BR.C2/AGT1/M";"356";"https://www.safesave.info/MIC.php?id=Fajar-MotorList356";"2023-10-26 14:45:21";NULL
"EMO000122";"FP-01-PM1-BRS-T187-A050";;"MOTOR AC TECO ;110KW;221A;8P;380V;B";"Installed";"PM1.BR.C2/AGT2/M";"357";"https://www.safesave.info/MIC.php?id=Fajar-MotorList357";"2023-10-26 14:45:21";NULL
"EMO000123";"FP-01-PM1-BRS-T187-P196";;"MOTOR AC ABB ;90KW;172A;4P;380V;B";"Installed";"PM1.BR.C2/P1/M";"363";"https://www.safesave.info/MIC.php?id=Fajar-MotorList363";"2023-10-26 14:45:21";NULL
"EMO000124";"FP-01-PM1-BRS-T188-A051";;"MOTOR AC;350HP;65A;8P;3000V;B";"Installed";"PM1.BR.C3/AGT/M";"358";"https://www.safesave.info/MIC.php?id=Fajar-MotorList358";"2023-10-26 14:45:21";NULL
"EMO000126";"FP-01-PM1-BRS-T189-A052";;"MOTOR AC ABB 37KW;71A;6P;380V;B";"Installed";"PM1.BR.C4/AGT1/M";"359";"https://www.safesave.info/MIC.php?id=Fajar-MotorList359";"2023-10-26 14:45:21";NULL
"EMO000127";"FP-01-SP3-OCC-T014-A012";;"AC MOTOR;380V,50Hz,55kW,6P,280S,B35";"Available";"SP3.C14/AGT14/M";"1836";"https://www.safesave.info/MIC.php?id=Fajar-MotorList1836";"2023-10-21 12:19:21";NULL
"EMO000129";"FP-01-PM1-BRS-T189-P198";;"MOTOR AC ABB;90KW;172A;4P;380V;B";"Installed";"PM1.BR.C4/P1/M";"365";"https://www.safesave.info/MIC.php?id=Fajar-MotorList365";"2023-10-26 14:45:21";NULL
"EMO000131";"FP-01-SP1-UKP-T068-A022";;"AC MOTORABB;380V,50HZ,22KW,6P,B";"Installed";"SP1.UK.C3/AGT/M";"227";"https://www.safesave.info/MIC.php?id=Fajar-MotorList227";"2023-10-26 14:45:21";NULL
"EMO000133";"FP-01-PM1-BRS-T190-P200";;"MOTOR AC;55KW;103A;4P;380V;B";"Installed";"PM1.BR.C5/P1/M";"368";"https://www.safesave.info/MIC.php?id=Fajar-MotorList368";"2023-10-26 14:45:21";NULL
"EMO000134";"FP-01-PM1-BRS-T191-P201";;"MOTOR AC;75KW;141A;4P;380V;B";"Installed";"PM1.BR.C6/P1/M";"369";"https://www.safesave.info/MIC.php?id=Fajar-MotorList369";"2023-10-26 14:45:21";NULL
"EMO000135";"FP-01-PM1-BRS-T191-P202";;"MOTOR AC;30KW;59A;4P;380V;B";"Installed";"PM1.BR.C6/P2/M";"370";"https://www.safesave.info/MIC.php?id=Fajar-MotorList370";"2023-10-26 14:45:21";NULL
"EMO000136";"FP-01-PM1-WET-FOR2-CM01";;"DC MOTOR;440V,55kW,129A";"Installed";"PM1.F2.CM01/GB/M";"662";"https://www.safesave.info/MIC.php?id=Fajar-MotorList662";"2023-10-26 14:45:21";NULL
"EMO000137";"FP-01-PM1-DRY-GRP4";;"MOTOR DC,IGH2224-IBK-10Z,SIEMENZ,99KW";"Installed";"PM1.G4.GB/M";"663";"https://www.safesave.info/MIC.php?id=Fajar-MotorList663";"2023-10-26 14:45:21";NULL
"EMO000139";"FP-01-PM1-CAL-CAL3-CYL1";;"MOTOR";"Installed";"PM1.GC.CYL/GB/M";"644";"https://www.safesave.info/MIC.php?id=Fajar-MotorList644";"2023-10-26 14:45:21";NULL
"EMO000140";"FP-01-PM1-CAL-CAL3-TCR2";;"MOTOR DC,G269,AEG,22.5KW,57A,1470,440V";"Installed";"PM1.GC.TCR2/GB/M";"665";"https://www.safesave.info/MIC.php?id=Fajar-MotorList665";"2023-10-26 14:45:21";NULL
"EMO000141";"FP-01-PM1-CAL-CAL3-TCR1";;"DC MOTOR;440V,22.5KW,75A";"Installed";"PM1.GC.TCR1/GB/M";"666";"https://www.safesave.info/MIC.php?id=Fajar-MotorList666";"2023-10-26 14:45:21";NULL
"EMO000152";"FP-01-PM1-COT-ATRN-BL09";;"MOTOR AC;55KW;102A;4P;380V;B";"Installed";"PM1.AT.FDF/M";"381";"https://www.safesave.info/MIC.php?id=Fajar-MotorList381";"2023-10-26 14:45:21";NULL
"EMO000153";"FP-01-PM1-COT-COAT-ACR1";;"AC MOTOR;380V,50HZ,15KW,30.7A";"Installed";"PM1.COT.JB/ACR/GB/M";"382";"https://www.safesave.info/MIC.php?id=Fajar-MotorList382";"2023-10-26 14:45:21";NULL
"EMO000159";"FP-01-PM1-COT-CRN1-HST1";;"MOTOR";"Installed";"PM1.CRN.HTC 2T/GB/M";"464";"https://www.safesave.info/MIC.php?id=Fajar-MotorList464";"2023-10-26 14:45:21";NULL
"EMO000160";"FP-01-PM1-COT-CRN2-HST1";;"MOTOR";"Installed";"PM1.CRN.DEMAG 1.6T/GB/M";"465";"https://www.safesave.info/MIC.php?id=Fajar-MotorList465";"2023-10-26 14:45:21";NULL
"EMO000162";"FP-01-PM1-COT-HAD3-BL18";;"AC MOTOR;TECO,AEEB,30KW,59A,4P,380V,B";"Installed";"PM1.HAD3/FDF/M";"386";"https://www.safesave.info/MIC.php?id=Fajar-MotorList386";"2023-10-26 14:45:21";NULL
"EMO000163";"FP-01-PM1-COT-HAD3-BL19";;"MOTOR;7.5KW";"Installed";"PM1.HAD3/IDF/M";"387";"https://www.safesave.info/MIC.php?id=Fajar-MotorList387";"2023-10-26 14:45:21";NULL
"EMO000164";"FP-01-PM1-COT-SR33";;"MOTOR;0,12KW;O,41A";"Installed";"PM1.COT.VIS1/M";"388";"https://www.safesave.info/MIC.php?id=Fajar-MotorList388";"2023-10-26 14:45:21";NULL
"EMO000165";"FP-01-PM1-COT-SR34";;"AC MOTOR;380V,50HZ,1.5KW,4P";"Installed";"PM1.COT.VIS2/M";"822";"https://www.safesave.info/MIC.php?id=Fajar-MotorList822";"2023-10-26 14:45:21";NULL
