id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO000576;FP-01-SP1-CPO-T002-P006;;"AC MOTOR;380V,50Hz,15kW,4P,160L,B3";Installed;SP1.CP.C2/P1/M;20;https://www.safesave.info/MIC.php?id=Fajar-MotorList20;2023-10-26 14:45:21
EMO000349;FP-01-SP1-CPO-T007-P203;;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";Installed;SP1.CP.C6/P3/M;21;https://www.safesave.info/MIC.php?id=Fajar-MotorList21;2023-10-26 14:45:22
EMO000407;FP-01-SP1-CPO-T007-P013;;"AC MOTOR;380V,50Hz,30kW,4P,200M,B3";Installed;SP1.CP.C6/P2/M;22;https://www.safesave.info/MIC.php?id=Fajar-MotorList22;2023-10-26 14:45:23
EMO000436;FP-01-SP1-CPO-DKC2;;"MOTOR AC;0,11KW;0,55A;4P;380V";Installed;SP1.CP.DKC2/M;23;https://www.safesave.info/MIC.php?id=Fajar-MotorList23;2023-10-26 14:45:24
EMO000435;FP-01-SP1-CPO-DKC2-P018;;"AC MOTOR ABB ;380V,50Hz,75kW,6P,280M,B3";Installed;SP1.CP.DKC2/P1;24;https://www.safesave.info/MIC.php?id=Fajar-MotorList24;2023-10-26 14:45:25
EMO000438;FP-01-SP1-CPO-DKC2-P019;;"AC MOTOR ABB ;380V,50Hz,75kW,6P,280M,B3";Installed;SP1.CP.DKC2/P2;25;https://www.safesave.info/MIC.php?id=Fajar-MotorList25;2023-10-26 14:45:26
EMO002909;FP-01-SP1-CPO-SR01;;"AC MOTOR;380V,50Hz,55kW,6P,250S,V5";Installed;SP1.CP.PS(C)1/M;26;https://www.safesave.info/MIC.php?id=Fajar-MotorList26;2023-10-26 14:45:27
EMO000443;FP-01-SP1-CPO-SR02;;"MOTOR ACCGE;4KW;9A;4P;380V;B";Installed;SP1.CP.JNS1/M;27;https://www.safesave.info/MIC.php?id=Fajar-MotorList27;2023-10-26 14:45:28
EMO000445;FP-01-SP1-CPO-SR04;;"MOTOR AC ABB;55KW;112A;6P;380V;V";Installed;SP1.CP.PS(F)1/M;28;https://www.safesave.info/MIC.php?id=Fajar-MotorList28;2023-10-26 14:45:29
EMO000446;FP-01-SP1-CPO-SR05;;"MOTOR AC ABB;37KW;71A;6P;380V;V";Installed;SP1.CP.PS(F)2/M;29;https://www.safesave.info/MIC.php?id=Fajar-MotorList29;2023-10-26 14:45:30
EMO000447;FP-01-SP1-CPO-SR06;;"MOTOR AC;30KW;59A;4P;380V;B";Installed;SP1.CP.PS(F)3/M;30;https://www.safesave.info/MIC.php?id=Fajar-MotorList30;2023-10-26 14:45:31
EMO000382;FP-01-SP1-CPO-T001-P004;;"AC MOTOR;380V,50Hz,37kW,4P,225S,B3";Installed;SP1.CP.C1.P1/M;31;https://www.safesave.info/MIC.php?id=Fajar-MotorList31;2023-10-26 14:45:32
EMO000452;FP-01-SP1-CPO-T004-P008;;"AC MOTOR;380V,50Hz,75kW,4P,250M,B3";Installed;SP1.CP.C20/P1/M;32;https://www.safesave.info/MIC.php?id=Fajar-MotorList32;2023-10-26 14:45:33
EMO000453;FP-01-SP1-CPO-T005-P009;;"AC MOTOR;380V,50Hz,22kW,4P,180L,B3";Installed;SP1.CP.T3/P1/M;33;https://www.safesave.info/MIC.php?id=Fajar-MotorList33;2023-10-26 14:45:34
